Article,Morph,Jewish,Person,Number,Tense,Mood,Voice,Gender,Case,Degree,Strength,Inflection,-2form,-2lemma,-2morph,-2person,-2number,-2tense,-2mood,-2voice,-2gender,-2case,-2degree,-2strength,-2inflection,-1form,-1lemma,-1morph,-1person,-1number,-1tense,-1mood,-1voice,-1gender,-1case,-1degree,-1strength,-1inflection,1form,1lemma,1morph,1person,1number,1tense,1mood,1voice,1gender,1case,1degree,1strength,1inflection,2form,2lemma,2morph,2person,2number,2tense,2mood,2voice,2gender,2case,2degree,2strength,2inflection,3form,3lemma,3morph,3person,3number,3tense,3mood,3voice,3gender,3case,3degree,3strength,3inflection,Answer
της,-s---fg--i,no,-,s,-,-,-,f,g,-,-,i,δη,δη,---------n,-,-,-,-,-,-,-,-,-,n,ταυτα,ουτος,-p---nn--i,-,p,-,-,-,n,n,-,-,i,λιβυης,λιβυη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,πετρου,πετρος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,απο,απο,---------n,-,-,-,-,-,-,-,-,-,n,χαρας,χαρα,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ουκ,ου,---------n,-,-,-,-,-,-,-,-,-,n,ηνοιξεν,ανοιγνυμι,3saia----i,3,s,a,i,a,-,-,-,-,i,2
τους,-p---ma--i,no,-,p,-,-,-,m,a,-,-,i,περσεων,περσης,-p---mg--i,-,p,-,-,-,m,g,-,-,i,συναλισας,συναλιζω,-sapamn--i,-,s,a,p,a,m,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,προτερον,προτερος,-s---nap-i,-,s,-,-,-,n,a,p,-,i,συνελεξε,συλλεγω,3saia----i,3,s,a,i,a,-,-,-,-,i,4
τα,-p---na--i,no,-,p,-,-,-,n,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,υπορυσσοντες,υπορυσσω,-pppamn--i,-,p,p,p,a,m,n,-,-,i,τειχεα,τειχος,-p---na--i,-,p,-,-,-,n,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,παντοιας,παντοιος,-p---fap-i,-,p,-,-,-,f,a,p,-,i,2
ο,3s---mn--i,yes,3,s,-,-,-,m,n,-,-,i,αυτον,αυτος,3s---ma--i,3,s,-,-,-,m,a,-,-,i,παντοθεν,παντοθεν,---------n,-,-,-,-,-,-,-,-,-,n,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,εξελθων,εξερχομαι,-sapamn--i,-,s,a,p,a,m,n,-,-,i,ηρξατο,αρχω,3saim----i,3,s,a,i,m,-,-,-,-,i,4
οι,-p---mn--i,no,-,p,-,-,-,m,n,-,-,i,ων,ουν,---------n,-,-,-,-,-,-,-,-,-,n,περσαι,περσης,-p---mn--i,-,p,-,-,-,m,n,-,-,i,πεμφθεντες,πεμπω,-pappmn--i,-,p,a,p,p,m,n,-,-,i,ουτοι,ουτος,-p---mn--i,-,p,-,-,-,m,n,-,-,i,παρα,παρα,---------n,-,-,-,-,-,-,-,-,-,n,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,αυτος,αυτος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,θεος,θεος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,εσται,ειμι,3sfim----i,3,s,f,i,m,-,-,-,-,i,μετ’,μετα,---------n,-,-,-,-,-,-,-,-,-,n,2
τα,-p---nn--i,yes,-,p,-,-,-,n,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,λεγειν,λεγω,--pna----i,-,-,p,n,a,-,-,-,-,i,γαρ,γαρ,---------n,-,-,-,-,-,-,-,-,-,n,κρυφη,κρυφη,---------n,-,-,-,-,-,-,-,-,-,n,γινομενα,γιγνομαι,-pppmna--i,-,p,p,p,m,n,a,-,-,i,4
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,της,ο,-s---fg--i,-,s,-,-,-,f,g,-,-,i,επιθυμιας,επιθυμια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ψυχης,ψυχη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,απηλθεν,απερχομαι,3saia----i,3,s,a,i,a,-,-,-,-,i,απο,απο,---------n,-,-,-,-,-,-,-,-,-,n,2
τω,-s---md--i,no,-,s,-,-,-,m,d,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,πεζω,πεζος,-s---mdp-i,-,s,-,-,-,m,d,p,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,κασπιοι,κασπιοι,-p---mnp-i,-,p,-,-,-,m,n,p,-,i,2
τη,-s---fd--i,no,-,s,-,-,-,f,d,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,εσσωθησαν,ησσαομαι,3paip----i,3,p,a,i,p,-,-,-,-,i,μαχη,μαχη,-s---fd--i,-,s,-,-,-,f,d,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
η,-s---fn--i,no,-,s,-,-,-,f,n,-,-,i,οικεομενης,οικεω,-spppfg--i,-,s,p,p,p,f,g,-,-,i,τε,τε,---------n,-,-,-,-,-,-,-,-,-,n,οδος,οδος,-s---fn--i,-,s,-,-,-,f,n,-,-,i,απασα,απας,-s---fnp-i,-,s,-,-,-,f,n,p,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,2
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,περαν,περαν,---------n,-,-,-,-,-,-,-,-,-,n,ιορδανου,ιορδανης,-s---mg--i,-,s,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,περι,περι,---------n,-,-,-,-,-,-,-,-,-,n,2
της,-s---fg--i,no,-,s,-,-,-,f,g,-,-,i,σουσοισι,σουσα,-p---nd--i,-,p,-,-,-,n,d,-,-,i,κατειχε,κατεχω,3siia----i,3,s,i,i,a,-,-,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,μιλητου,μιλητος,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ετυγχανε,τυγχανω,3siia----i,3,s,i,i,a,-,-,-,-,i,3
την,-s---fa--i,no,-,s,-,-,-,f,a,-,-,i,οικησαι,οικεω,--ana----i,-,-,a,n,a,-,-,-,-,i,περι,περι,---------n,-,-,-,-,-,-,-,-,-,n,τριτωνιδα,τριτωνις,-s---fa--i,-,s,-,-,-,f,a,-,-,i,λιμνην,λιμνη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,ελληνιδας,ελληνις,-p---fap-i,-,p,-,-,-,f,a,p,-,i,2
το,-s---nn--i,yes,-,s,-,-,-,n,n,-,-,i,αυτου,αυτος,3s---mg--i,3,s,-,-,-,m,g,-,-,i,ου,ος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,πτυον,πτυον,-s---nn--i,-,s,-,-,-,n,n,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,τη,ο,-s---fd--i,-,s,-,-,-,f,d,-,-,i,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,εντολην,εντολη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,μεν,μεν,---------n,-,-,-,-,-,-,-,-,-,n,σαββατον,σαββατον,-s---na--i,-,s,-,-,-,n,a,-,-,i,ησυχασαν,ησυχαζω,3paia----i,3,p,a,i,a,-,-,-,-,i,3
τον,-s---ma--i,no,-,s,-,-,-,m,a,-,-,i,βασιλευσαι,βασιλευω,--ana----i,-,-,a,n,a,-,-,-,-,i,χρην,χρη,3siia----i,3,s,i,i,a,-,-,-,-,i,παιδα,παις,-s---ma--i,-,s,-,-,-,m,a,-,-,i,ει,ει,---------n,-,-,-,-,-,-,-,-,-,n,επεζωσε,επιζαω,3saia----i,3,s,a,i,a,-,-,-,-,i,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,ου,ου,---------n,-,-,-,-,-,-,-,-,-,n,τηρει,τηρεω,3spia----i,3,s,p,i,a,-,-,-,-,i,μη,μη,---------n,-,-,-,-,-,-,-,-,-,n,αγαπων,αγαπαω,-sppamn--i,-,s,p,p,a,m,n,-,-,i,με,εγω,1s---ma--i,1,s,-,-,-,m,a,-,-,i,3
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,εκκλησιαι,εκκλησια,-p---fn--i,-,p,-,-,-,f,n,-,-,i,εισιν,ειμι,3ppia----i,3,p,p,i,a,-,-,-,-,i,μυστηριον,μυστηριον,-s---na--i,-,s,-,-,-,n,a,-,-,i,των,ο,-p---mg--i,-,p,-,-,-,m,g,-,-,i,επτα,επτα,---------n,-,-,-,-,-,-,-,-,-,n,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,το,ο,-s---na--i,-,s,-,-,-,n,a,-,-,i,σκοτος,σκοτος,-s---na--i,-,s,-,-,-,n,a,-,-,i,εξωτερον,εξωτερος,-s---nap-i,-,s,-,-,-,n,a,p,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,περιπατησαι,περιπατεω,--ana----i,-,-,a,n,a,-,-,-,-,i,αξιως,αξιως,-------p-i,-,-,-,-,-,-,-,p,-,i,κυριου,κυριος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,πασαν,πας,-s---fa--i,-,s,-,-,-,f,a,-,-,i,2
τους,-p---ma--i,yes,-,p,-,-,-,m,a,-,-,i,μεθ’,μετα,---------n,-,-,-,-,-,-,-,-,-,n,εαυτων,εαυτου,3p---mg--i,3,p,-,-,-,m,g,-,-,i,πτωχους,πτωχος,-p---map-i,-,p,-,-,-,m,a,p,-,i,γαρ,γαρ,---------n,-,-,-,-,-,-,-,-,-,n,παντοτε,παντοτε,---------n,-,-,-,-,-,-,-,-,-,n,2
οι,-p---mn--i,no,-,p,-,-,-,m,n,-,-,i,τους,ο,-p---ma--i,-,p,-,-,-,m,a,-,-,i,καλεουσι,καλεω,3ppia----i,3,p,p,i,a,-,-,-,-,i,περσαι,περσης,-p---mn--i,-,p,-,-,-,m,n,-,-,i,τα,ο,-p---na--i,-,p,-,-,-,n,a,-,-,i,τριηκοντα,τριακοντα,---------n,-,-,-,-,-,-,-,-,-,n,2
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,ημων,ημεις,1p---mg--i,1,p,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,μοχθον,μοχθος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,του,ο,-s---og--i,-,s,-,-,-,o,g,-,-,i,νομου,νομος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ανθρωπος,ανθρωπος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ουτος,ουτος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ου,ου,---------n,-,-,-,-,-,-,-,-,-,n,2
οι,-p---mn--i,no,-,p,-,-,-,m,n,-,-,i,τον,ο,-s---ma--i,-,s,-,-,-,m,a,-,-,i,αδρηστον,αδραστος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,σικυωνιοι,σικυωνιος,-p---mnp-i,-,p,-,-,-,m,n,p,-,i,εωθεσαν,εθω,3plia----i,3,p,l,i,a,-,-,-,-,i,3
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,εκβαλε,εκβαλλω,2sama----i,2,s,a,m,a,-,-,-,-,i,πρωτον,πρωτος,-s---na--i,-,s,-,-,-,n,a,-,-,i,δοκον,δοκος,-s---fa--i,-,s,-,-,-,f,a,-,-,i,εκ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,προς,προς,---------n,-,-,-,-,-,-,-,-,-,n,καισαρα,καισαρ,-s---ma--i,-,s,-,-,-,m,a,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,παυλου,παυλος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,επικαλεσαμενου,επικαλεω,-sapmmg--i,-,s,a,p,m,m,g,-,-,i,3
τω,-s---md--i,no,-,s,-,-,-,m,d,-,-,i,τουτους,ουτος,-p---ma--i,-,p,-,-,-,m,a,-,-,i,δεκατευσαι,δεκατευω,--ana----i,-,-,a,n,a,-,-,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,δελφοισι,δελφοι,-p---md--i,-,p,-,-,-,m,d,-,-,i,θεω,θεος,-s---md--i,-,s,-,-,-,m,d,-,-,i,4
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,των,ο,-p---mg--i,-,p,-,-,-,m,g,-,-,i,δουλων,δουλος,-p---mg--i,-,p,-,-,-,m,g,-,-,i,αρχιερεως,αρχιερευς,-s---mg--i,-,s,-,-,-,m,g,-,-,i,συγγενης,συγγενης,-s---mnp-i,-,s,-,-,-,m,n,p,-,i,ων,ειμι,-sppamn--i,-,s,p,p,a,m,n,-,-,i,2
τον,-s---ma--i,no,-,s,-,-,-,m,a,-,-,i,ως,ως,---------n,-,-,-,-,-,-,-,-,-,n,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,γυνδην,γυνδη,-s---ma--i,-,s,-,-,-,m,a,-,-,i,ποταμον,ποταμος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,ετισατο,τινω,3saim----i,3,s,a,i,m,-,-,-,-,i,2
την,-s---fa--i,no,-,s,-,-,-,f,a,-,-,i,την,ο,-s---fa--i,-,s,-,-,-,f,a,-,-,i,υπο,υπο,---------n,-,-,-,-,-,-,-,-,-,n,οσσαν,οσσα,-s---fa--i,-,s,-,-,-,f,a,-,-,i,τε,τε,---------n,-,-,-,-,-,-,-,-,-,n,και,και,---------n,-,-,-,-,-,-,-,-,-,n,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,το,ο,-s---na--i,-,s,-,-,-,n,a,-,-,i,πνευμα,πνευμα,-s---na--i,-,s,-,-,-,n,a,-,-,i,εκ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,του,ο,-s---og--i,-,s,-,-,-,o,g,-,-,i,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
τον,-s---ma--i,no,-,s,-,-,-,m,a,-,-,i,τα,ο,-p---na--i,-,p,-,-,-,n,a,-,-,i,λεγομενα,λεγω,-ppppna--i,-,p,p,p,p,n,a,-,-,i,ατρειδεων,ατρειδης,-p---mg--i,-,p,-,-,-,m,g,-,-,i,ες,εις,---------n,-,-,-,-,-,-,-,-,-,n,ιλιον,ιλιος,-s---na--i,-,s,-,-,-,n,a,-,-,i,2
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,πιστευεις,πιστευω,2spia----i,2,s,p,i,a,-,-,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,υιον,υιος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ανθρωπου,ανθρωπος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,ινα,ινα,---------n,-,-,-,-,-,-,-,-,-,n,αρη,αειρω,3sasa----i,3,s,a,s,a,-,-,-,-,i,σωμα,σωμα,-s---na--i,-,s,-,-,-,n,a,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ιησου,ιησους,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,χειρι,χειρ,-s---fd--i,-,s,-,-,-,f,d,-,-,i,παυλου,παυλος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ασπασμος,ασπασμος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,τη,ο,-s---fd--i,-,s,-,-,-,f,d,-,-,i,εμη,εμος,1s---fd--i,1,s,-,-,-,f,d,-,-,i,2
της,-s---fg--i,no,-,s,-,-,-,f,g,-,-,i,εδραμε,τρεχω,3saia----i,3,s,a,i,a,-,-,-,-,i,εκ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,κοιτης,κοιτη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,πεμπει,πεμπω,3spia----i,3,s,p,i,a,-,-,-,-,i,2
οι,-p---mn--i,yes,-,p,-,-,-,m,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,γαμισκονται,γαμιζω,3ppip----i,3,p,p,i,p,-,-,-,-,i,υιοι,υιος,-p---mn--i,-,p,-,-,-,m,n,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,αιωνος,αιων,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
το,-s---nn--i,yes,-,s,-,-,-,n,n,-,-,i,ουτως,ουτως,---------n,-,-,-,-,-,-,-,-,-,n,εστιν,ειμι,3spia----i,3,s,p,i,a,-,-,-,-,i,θελημα,θελημα,-s---nn--i,-,s,-,-,-,n,n,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
των,-p---mg--i,no,-,p,-,-,-,m,g,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ηνδραποδισαντο,ανδραποδιζω,3paim----i,3,p,a,i,m,-,-,-,-,i,βαρκαιων,βαρκαιοι,-p---mgp-i,-,p,-,-,-,m,g,p,-,i,τουτους,ουτος,-p---ma--i,-,p,-,-,-,m,a,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,τελωνης,τελωνης,-s---mn--i,-,s,-,-,-,m,n,-,-,i,θεος,θεος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ευχαριστω,ευχαριστεω,1spia----i,1,s,p,i,a,-,-,-,-,i,σοι,συ,2s---pd--i,2,s,-,-,-,p,d,-,-,i,2
της,-s---fg--i,yes,-,s,-,-,-,f,g,-,-,i,μακροθεν,μακροθεν,---------n,-,-,-,-,-,-,-,-,-,n,εως,εως,---------n,-,-,-,-,-,-,-,-,-,n,αυλης,αυλη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,αρχιερεως,αρχιερευς,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
τη,-s---fd--i,no,-,s,-,-,-,f,d,-,-,i,αποδεικνυσθαι,αποδεικνυμι,--pnm----i,-,-,p,n,m,-,-,-,-,i,αντιην,αντιος,-s---fap-i,-,s,-,-,-,f,a,p,-,i,προκειμενη,προκειμαι,-sppafd--i,-,s,p,p,a,f,d,-,-,i,αρταβανος,αρταβανος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,2
οι,-p---mn--i,no,-,p,-,-,-,m,n,-,-,i,απογονοισι,απογονος,-p---md--i,-,p,-,-,-,m,d,-,-,i,ουδεν,ουδεις,-s---na--i,-,s,-,-,-,n,a,-,-,i,δ’,δε,---------n,-,-,-,-,-,-,-,-,-,n,αυ,αυ,---------n,-,-,-,-,-,-,-,-,-,n,κροτωνιηται,κροτωνιητης,-p---mn--i,-,p,-,-,-,m,n,-,-,i,4
οι,-p---mn--i,yes,-,p,-,-,-,m,n,-,-,i,νομω,νομος,-s---md--i,-,s,-,-,-,m,d,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,προφηται,προφητης,-p---mn--i,-,p,-,-,-,m,n,-,-,i,ευρηκαμεν,ευρισκω,1pria----i,1,p,r,i,a,-,-,-,-,i,ιησουν,ιησους,-s---ma--i,-,s,-,-,-,m,a,-,-,i,2
της,-s---fg--i,no,-,s,-,-,-,f,g,-,-,i,διαδοχος,διαδοχος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,οι,ου,3s---md--i,3,s,-,-,-,m,d,-,-,i,τυραννιδος,τυραννις,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,παις,παις,-s---mn--i,-,s,-,-,-,m,n,-,-,i,2
τα,-p---nn--i,no,-,p,-,-,-,n,n,-,-,i,μεγαλα,μεγας,-p---nnp-i,-,p,-,-,-,n,n,p,-,i,ταυτα,ουτος,-p---nn--i,-,p,-,-,-,n,n,-,-,i,πλοια,πλοιον,-p---nn--i,-,p,-,-,-,n,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,ελασσω,ελασσων,-p---nnc-i,-,p,-,-,-,n,n,c,-,i,2
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,επιχορηγιας,επιχορηγια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,πνευματος,πνευμα,-s---ng--i,-,s,-,-,-,n,g,-,-,i,ιησου,ιησους,-s---mg--i,-,s,-,-,-,m,g,-,-,i,χριστου,χριστος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
τη,-s---fd--i,yes,-,s,-,-,-,f,d,-,-,i,ηγαπα,αγαπαω,3siia----i,3,s,i,i,a,-,-,-,-,i,λεγει,λεγω,3spia----i,3,s,p,i,a,-,-,-,-,i,μητρι,μητηρ,-s---fd--i,-,s,-,-,-,f,d,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
ο,-s---mn--i,no,-,s,-,-,-,m,n,-,-,i,θωμαζων,θαυμαζω,-sppamn--i,-,s,p,p,a,m,n,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,δαρειος,δαρειος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,τα,ο,-p---na--i,-,p,-,-,-,n,a,-,-,i,τε,τε,---------n,-,-,-,-,-,-,-,-,-,n,2
η,-s---fn--i,no,-,s,-,-,-,f,n,-,-,i,ενθευτεν,εντευθεν,---------n,-,-,-,-,-,-,-,-,-,n,μεν,μεν,---------n,-,-,-,-,-,-,-,-,-,n,φατις,φατις,-s---fn--i,-,s,-,-,-,f,n,-,-,i,αυτη,ουτος,-s---fn--i,-,s,-,-,-,f,n,-,-,i,κεχωρηκε,χωρεω,3sria----i,3,s,r,i,a,-,-,-,-,i,2
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,εγεννησεν,γενναω,3saia----i,3,s,a,i,a,-,-,-,-,i,σαλμων,σαλμων,---------n,-,-,-,-,-,-,-,-,-,n,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
το,-s---na--i,no,-,s,-,-,-,n,a,-,-,i,μεν,μεν,---------n,-,-,-,-,-,-,-,-,-,n,παρεξελθειν,παρεξερχομαι,--ana----i,-,-,a,n,a,-,-,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,φασμα,φασμα,-s---na--i,-,s,-,-,-,n,a,-,-,i,τουτο,ουτος,-s---na--i,-,s,-,-,-,n,a,-,-,i,3
τοισι,3p---nd--i,no,3,p,-,-,-,n,d,-,-,i,εγγραφειν,εγγραφω,--pna----i,-,-,p,n,a,-,-,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,και,και,---------n,-,-,-,-,-,-,-,-,-,n,δενδρεα,δενδρον,-p---na--i,-,p,-,-,-,n,a,-,-,i,φυλλα,φυλλον,-p---na--i,-,p,-,-,-,n,a,-,-,i,1
των,-p---qg--i,no,-,p,-,-,-,q,g,-,-,i,ταχιστα,ταχεως,-------s-i,-,-,-,-,-,-,-,s,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,χειρων,χειρ,-p---fg--i,-,p,-,-,-,f,g,-,-,i,εκρατησε,κρατεω,3saia----i,3,s,a,i,a,-,-,-,-,i,διεργαζεται,διεργαζομαι,3spim----i,3,s,p,i,m,-,-,-,-,i,2
οι,-p---mn--i,yes,-,p,-,-,-,m,n,-,-,i,αυτοις,αυτος,3p---md--i,3,p,-,-,-,m,d,-,-,i,σκοτισθητωσαν,σκοτιζω,3pamp----i,3,p,a,m,p,-,-,-,-,i,οφθαλμοι,οφθαλμος,-p---mn--i,-,p,-,-,-,m,n,-,-,i,αυτων,αυτος,3p---mg--i,3,p,-,-,-,m,g,-,-,i,του,ο,-s---ng--i,-,s,-,-,-,n,g,-,-,i,2
τας,-p---fa--i,yes,-,p,-,-,-,f,a,-,-,i,δαιμονιου,δαιμονιον,-s---ng--i,-,s,-,-,-,n,g,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,ερημους,ερημος,-p---fap-i,-,p,-,-,-,f,a,p,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
του,-s---mg--i,no,-,s,-,-,-,m,g,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,στολου,στολος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,γινομενου,γιγνομαι,-sppmmg--i,-,s,p,p,m,m,g,-,-,i,παραδωσειν,παραδιδωμι,--fna----i,-,-,f,n,a,-,-,-,-,i,σφεας,σφεις,3p---ma--i,3,p,-,-,-,m,a,-,-,i,2
